outcome,matchedBy,chamberName,chamberEmail,chamberPhone,dbId,dbName,dbEmail
BOTH_NO_EMAIL,name,"Dental Associates of Moreno Valley","","(951) 697-6800","cmsll7pv70019dou9lqk0p7g1","Dental Associates of Moreno Valley",
BOTH_NO_EMAIL,name,"Miller-Jones Mortuary","","(951) 485-4542","cmsll7rbe002ydou945k0qdig","Miller-Jones Mortuary",
BOTH_NO_EMAIL,name,"Equus Workforce Solutions / Moreno Valley Youth Opportunity Center","","(951) 653-1311 xMoVal","cmsll7q54001kdou94yd0r435","Equus Workforce Solutions / Moreno Valley Youth Opportunity Center",
BOTH_NO_EMAIL,name,"The ARC of Riverside County - MV Resource Center","","(951) 275-5344","cmsll7szl004xdou975ca2zqt","The ARC of Riverside County - MV Resource Center",
BOTH_NO_EMAIL,name,"California School Employees Association","","(951) 656-7333","cmsll7pk7000wdou94sj46qkj","California School Employees Association",
BOTH_NO_EMAIL,name,"Canyon Springs Shopping Center","","(951) 369-0308","cmsll7pl1000xdou995ijjwd7","Canyon Springs Shopping Center",
ONLY_CHAMBER_HAS_EMAIL,name,"Edward Jones ","ed.vasquez@edwardjones.com","(951) 488-9033","cmsll7q2k001hdou9kd0ybphw","Edward Jones",
BOTH_NO_EMAIL,name,"Family Service Association","","(951) 686-1096","cmsll7q7m001ndou9mad20wtd","Family Service Association",
BOTH_NO_EMAIL,name,"Tucker's Tax Service","","(951) 924-5421","cmsll7t7a0056dou9x47j3bbr","Tucker's Tax Service",
EMAIL_MISMATCH,name,"Moreno Valley Unified School District","dhellerstedt@mvusd.net","(951) 571-7500","cms0s6ln0fiyz9iby8k","Moreno Valley Unified School District","klewis@mvusd.net"
ONLY_CHAMBER_HAS_EMAIL,name,"Highland Fairview Properties","ccolucci@highlandfairview.com","(951) 867-5365","cmsll7qnt0026dou9y9pul6nk","Highland Fairview Properties",
ONLY_CHAMBER_HAS_EMAIL,name,"Integrated Care Communities","crowe@icare.bz","(951) 243-3837","cmsll7qs0002bdou9zl0ym7uy","Integrated Care Communities",
BOTH_NO_EMAIL,name,"Moreno Valley Educators Association","","(951) 485-0545","cmsll7rha0035dou9ru6mbeu7","Moreno Valley Educators Association",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Flower Box","mvflowerbox@gmail.com","(951) 653-3171","cmsll7riy0037dou9obc4ylwq","Moreno Valley Flower Box",
BOTH_NO_EMAIL,name,"Moreno Valley Mall","","(951) 653-1177","cms0s61f2xv2qnekar","Moreno Valley Mall",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Master Chorale","Info@morenovalleymasterchorale.org","(951) 682-1928","cmsll7rkm0039dou97hrcbght","Moreno Valley Master Chorale",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Plaza","sharmayne.mcpeace@grubb-ellis.com","(951) 242-5247","cms0s61e21i184kmvq","Moreno Valley Plaza",
BOTH_NO_EMAIL,name,"Morning Optimist of MV","","","cmsll7rn7003cdou9suqcyvbf","Morning Optimist of MV",
EMAIL_MISMATCH,name,"Provident Bank","kleal@myprovident.com","(951) 242-3149","cms0s6i8o4ptjpz6h6z","Provident Bank","info@myprovident.com"
